catchment_id,date,burned_area,rainfall,temperature,aod,chla,lake_surface_water_temperature,tsm,land_cover
453,2021-01,0.0,0.0006219961322592,-9.57695385081496,,,,,40.0
454,2021-01,0.0,0.0009743287021964,-18.09830576578774,,,,,80.0
455,2021-01,0.0,0.0015508003853452,-17.838321653120314,,,,,80.0
456,2021-01,0.0,0.0012099706610757,-16.792113240275352,,,,,80.0
457,2021-01,0.0,0.0010876609083754,-12.087555533418026,0.2472166666666667,,,,10.0
458,2021-01,0.0,0.0012546607081643,-14.640295805423005,,,,,80.0
459,2021-01,0.0,0.0,,,,,,10.0
460,2021-01,0.0,0.0008187905577597,-13.30697872379823,,,,,80.0
461,2021-01,0.0,0.0007360283556097,-12.06851601549372,0.157875,,,,80.0
462,2021-01,0.0,0.0007505736720495,-10.655625066413243,0.1071780898876404,,,,10.0
463,2021-01,0.0,0.0006527838519772,-9.45562578672235,,,,,80.0
464,2021-01,0.0,0.0008163737510182,-10.980906346983,,,,,10.0
465,2021-01,0.0,0.0007919118100845,-8.814999336265585,,,,,10.0
466,2021-01,0.0,0.0007930713214728,-8.332559172778511,,,,,10.0
467,2021-01,0.0,0.0005790799734768,-23.08818533923428,,,,,80.0
468,2021-01,0.0,0.0009110834328112,-20.783914988527997,,,,,80.0
469,2021-01,0.0,0.0017866577098838,-16.02618254376945,,,,,10.0
470,2021-01,0.0,0.0008258477264137,-12.727730486469865,0.319,,,,10.0
471,2021-01,0.0,0.0018025173373795,-15.783410591663268,,,,,10.0
472,2021-01,0.0,0.000758545403764,-12.250285543964123,0.1846666666666666,,,,10.0
473,2021-01,0.0,0.0012627985207018,-17.820821169817076,,,,,80.0
474,2021-01,0.0,0.0013926440021962,-16.864451205345866,,,,,10.0
475,2021-01,0.0,0.0008001034869245,-12.354655331250836,,,,,10.0
476,2021-01,0.0,0.0016768356494429,-15.066471785231164,,,,,10.0
477,2021-01,0.0,0.0007891312652321,-11.28354549613048,0.16,,,,10.0
478,2021-01,0.0,0.0007639640513371,-11.070773289600352,0.0872500600137174,,-2.149993896484375,,10.0
479,2021-01,0.0,0.0007622404749244,-11.802519160445003,,,,,10.0
480,2021-01,0.0,0.0009178199039139,-11.536997592064616,0.2177857142857142,,,,10.0
481,2021-01,0.0,0.0011785843025499,-14.596840572015338,,,,,10.0
482,2021-01,0.0,0.0007992514598148,-10.354869852555945,0.0694486979166666,,,,10.0
483,2021-01,0.0,0.0008846940972186,-11.003128986973891,0.2788,,,,10.0
484,2021-01,0.0,0.0013022398454722,-15.00920043804676,,,,,10.0
485,2021-01,0.0,0.0010287025555888,-11.601166448871457,0.1894444444444444,,,,10.0
486,2021-01,0.0,0.0010970664813562,-13.560486136998149,,,,,10.0
487,2021-01,0.0,0.0012119630230245,-14.840848155688183,,,,,10.0
488,2021-01,0.0,0.0011936914054331,-12.157882884278878,0.1262690806878307,,,,10.0
489,2021-01,0.0,0.0011037302296979,-14.373428219778642,,,,,10.0
490,2021-01,0.0,0.0007859222196923,-10.18367502333914,0.0679330151888341,,,,10.0
491,2021-01,0.0,0.0010118985607453,-12.563548964739566,0.1084812054880603,,,,10.0
492,2021-01,0.0,0.0010041958220578,-14.35254716223711,,,,,10.0
493,2021-01,0.0,0.0011366992051452,-10.891561466844914,0.188,,,,10.0
494,2021-01,0.0,0.0010065198803563,-10.9166612601046,0.2134444444444444,,,,80.0
495,2021-01,0.0,0.0009722070647057,-14.217401270712555,,,,,10.0
496,2021-01,0.0,0.0011050766833401,-13.894513018506451,,,,,10.0
497,2021-01,0.0,0.000840107871584,-10.114468225185137,0.12504125,,,,10.0
498,2021-01,0.0,0.0011074889329847,-13.698472551462032,,,,,80.0
499,2021-01,0.0,0.0008562067136088,-13.89643149427186,,,,,80.0
500,2021-01,0.0,0.0011957456960721,-11.141310790836608,0.1594295555555556,,,,10.0
501,2021-01,0.0,0.0010414944219367,-13.433167901509876,0.1745,,,,80.0
502,2021-01,0.0,0.0010548665998157,-13.538997313796813,,,,,10.0
503,2021-01,0.0,0.0009637785954055,-12.975133757779222,,,,,10.0
504,2021-01,0.0,0.0008480850485739,-13.90457755468222,,,,,10.0
505,2021-01,0.0,0.0008387999694655,-13.980972277277804,,,,,10.0
506,2021-01,0.0,0.0011820871261534,-13.882030774188284,,,,,10.0
507,2021-01,0.0,0.0012369061275463,-13.7609201827258,,,,,10.0
508,2021-01,0.0,0.0009685468635072,-13.378535075463551,,,,,10.0
509,2021-01,0.0,0.0008187692490992,-13.627866032644809,,,,,10.0
510,2021-01,0.0,0.0009459894029077,-13.14475680115401,,,,,80.0
511,2021-01,0.0,0.0010318703828033,-13.86792102116409,,,,,10.0
512,2021-01,0.0,0.0012364080675221,-10.698566707488007,0.15925,,,,10.0
513,2021-01,0.0,0.0010920887370408,-13.438209005482172,,,,,10.0
514,2021-01,0.0,0.0010286545259532,-12.947296913721203,,,,,10.0
515,2021-01,0.0,0.0007670427033746,-13.682066468269571,,,,,10.0
516,2021-01,0.0,0.0010206692331524,-12.817453947521372,0.197,,,,10.0
517,2021-01,0.0,0.00077081756073,-13.407768008871292,,,,,10.0
518,2021-01,0.0,0.0009966241695262,-13.45865160917172,,,,,10.0
519,2021-01,0.0,0.0011028591422018,-11.30941705191005,0.2403076923076923,,,,10.0
520,2021-01,0.0,0.0007753071198989,-13.567662041431491,,,,,80.0
521,2021-01,0.0,0.0008954850692099,-11.75705755090199,,,,,40.0
522,2021-01,0.0,0.000470943695417,-7.719644968996744,,,,,30.0
523,2021-01,0.0,0.0010616264995743,-13.17483284621319,,,,,10.0
524,2021-01,0.0,0.0010665610024646,-12.844221201250608,,,,,10.0
525,2021-01,0.0,0.0009964599851173,-10.906013111401606,0.1132538592360021,,,,10.0
526,2021-01,0.0,0.0008301788198726,-12.666535194971209,,,,,80.0
527,2021-01,0.0,0.0006932865706858,-10.140093190182895,,,,,10.0
528,2021-01,0.0,0.0006888423566719,-10.041800829159293,,,,,10.0
529,2021-01,0.0,0.0006785220744274,-13.227142711352249,,,,,80.0
530,2021-01,0.0,0.0008264623460945,-10.954883357586946,,,,,40.0
531,2021-01,0.0,0.000791634896839,-10.425293653538867,,,,,40.0
532,2021-01,0.0,0.0008159864572462,-10.67715589552938,,,,,80.0
533,2021-01,0.0,0.000929623512758,-10.66764016439615,,,,,10.0
534,2021-01,0.0,0.0006791301277006,-10.04071830519026,,,,,40.0
535,2021-01,0.0,0.0003119327478498,-5.494481080549646,0.1991857142857143,7.283778563141823,-1.2888827853732638,1.620851224245027,30.0
536,2021-01,0.0,0.000705692990935,-11.678729697010244,,,,,10.0
537,2021-01,0.0,0.0007228661884462,-12.058744483865686,,,,,80.0
538,2021-01,0.0,0.0007738027600225,-9.94004838731552,,,,,30.0
539,2021-01,0.0,0.0005622546998438,-11.616558230820502,,,,,10.0
540,2021-01,0.0,0.0,,,,,,30.0
541,2021-01,0.0,0.0006782711430266,-9.726288933454658,,,,,40.0
542,2021-01,0.0,0.0006591554609713,-11.122621384487331,,,,,10.0
543,2021-01,0.0,0.0008823335049328,-10.048575458048038,,,,,10.0
544,2021-01,0.0,0.0007769540515097,-10.488468572144846,,,,,10.0
545,2021-01,0.0,0.0007644064913468,-8.91699669392203,,,,,10.0
546,2021-01,0.0,0.000671593758243,-10.555672927911116,,,,,10.0
547,2021-01,0.0,0.000453707583263,-6.426423765339706,,,,,80.0
548,2021-01,0.0,0.0007695410279211,-20.20528661256193,,,,,80.0
549,2021-01,0.0,0.0008116877205945,-21.035730948499435,,,,,80.0
550,2021-01,0.0,0.0008077066270288,-20.83909142607,,,,,80.0
551,2021-01,0.0,0.0010586235550817,-19.35970249517841,,,,,30.0
552,2021-01,0.0,0.0009169991938051,-20.71036500007874,,,,,80.0
553,2021-01,0.0,0.0018783227729575,-16.29459220311973,,,,,10.0
554,2021-01,0.0,0.0012789558497843,-17.82134791548532,,,,,80.0
555,2021-01,0.0,0.0007527436939653,-11.43354562738888,,,,,10.0
556,2021-01,0.0,0.0014195046665333,-17.184609214208436,,,,,20.0
557,2021-01,0.0,0.001595591688361,-16.621114866195164,,,,,10.0
558,2021-01,0.0,0.0017839904753145,-15.741643439398842,,,,,10.0
559,2021-01,0.0,0.0014506563422855,-16.697432109873773,,,,,10.0
560,2021-01,0.0,0.0007741839813964,-11.964706590440528,,,,,10.0
561,2021-01,0.0,0.0008483048407015,-13.401864443543104,,,,,10.0
562,2021-01,0.0,0.0,,,,,,30.0
563,2021-01,0.0,0.0007671208309905,-10.93902435302732,,,,,10.0
564,2021-01,0.0,0.0010595325259146,-16.772784932454385,,,,,80.0
565,2021-01,0.0,0.0013182055083689,-16.248437811738683,,,,,80.0
566,2021-01,0.0,0.0014940218257682,-15.581545643139885,,,,,10.0
567,2021-01,0.0,0.0013101961342272,-16.00099166268514,,,,,80.0
568,2021-01,0.0,0.0008370768157419,-11.8670214635924,,,,,10.0
569,2021-01,0.0,0.0007875714329657,-10.080364174344073,0.065198671763584,,,,10.0
570,2021-01,0.0,0.0012122992304739,-15.328665133787275,,,,,80.0
571,2021-01,0.0,0.0010977558670219,-15.477317397532165,,,,,10.0
572,2021-01,0.0,0.000856517099884,-10.145902874502704,0.0654587301587301,,,,10.0
573,2021-01,0.0,0.0010741189000782,-14.75392047512915,,,,,80.0
574,2021-01,0.0,0.00101537417648,,,,,,10.0
575,2021-01,0.0,0.001225730764645,-11.207539531748774,,,,,10.0
576,2021-01,0.0,0.0010228309658941,-14.481249524188271,,,,,10.0
577,2021-01,0.0,0.0011361729232248,-14.187062171197692,,,,,10.0
578,2021-01,0.0,0.0009857950610694,-10.394504128732969,0.266,,,,10.0
